fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,f1_score
1,0,0.03362470120191574,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,1,0.030115868896245956,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,2,0.020427143201231956,0.995026171207428,79.0,240385.0,60.0,1142.0,0.568345308303833,0.06470106542110443,[0.01005406]
1,3,0.021821528673171997,0.9942813515663147,180.0,240104.0,341.0,1041.0,0.3454894423484802,0.14742015302181244,[0.01005406]
1,4,0.018339868634939194,0.9954896569252014,182.0,240394.0,51.0,1039.0,0.7811158895492554,0.14905814826488495,[0.01005406]
1,5,0.014436041936278343,0.9964455366134644,457.0,240350.0,95.0,764.0,0.8278985619544983,0.3742833733558655,[0.01005406]
1,6,0.015796849504113197,0.9962510466575623,400.0,240360.0,85.0,821.0,0.8247422575950623,0.3276003301143646,[0.01005406]
1,7,0.015662796795368195,0.9960358738899231,324.0,240384.0,61.0,897.0,0.8415584564208984,0.26535627245903015,[0.01005406]
1,8,0.015001172199845314,0.9960896372795105,526.0,240195.0,250.0,695.0,0.6778350472450256,0.4307944178581238,[0.01005406]
1,9,0.014445259235799313,0.9962758421897888,529.0,240237.0,208.0,692.0,0.7177747488021851,0.43325144052505493,[0.01005406]
1,10,0.014958670362830162,0.9960896372795105,359.0,240362.0,83.0,862.0,0.8122171759605408,0.2940213084220886,[0.01005406]
1,11,0.013235611841082573,0.9968013763427734,576.0,240317.0,128.0,645.0,0.8181818127632141,0.47174447774887085,[0.01005406]
1,12,0.013189869932830334,0.99658203125,627.0,240213.0,232.0,594.0,0.7299185395240784,0.5135135054588318,[0.01005406]
1,13,0.016451328992843628,0.9963254928588867,453.0,240325.0,120.0,768.0,0.7905759215354919,0.37100738286972046,[0.01005406]
1,14,0.012309303507208824,0.9971199631690979,660.0,240310.0,135.0,561.0,0.8301886916160583,0.5405405163764954,[0.01005406]
1,15,0.013293339870870113,0.9966813921928406,530.0,240334.0,111.0,691.0,0.8268330693244934,0.4340704381465912,[0.01005406]
1,16,0.013962545432150364,0.996644139289856,523.0,240332.0,113.0,698.0,0.8223270177841187,0.428337424993515,[0.01005406]
1,17,0.013020704500377178,0.9969627261161804,611.0,240321.0,124.0,610.0,0.8312925100326538,0.5004094839096069,[0.01005406]
1,18,0.012395473197102547,0.9970455169677734,614.0,240338.0,107.0,607.0,0.8515949845314026,0.5028665065765381,[0.01005406]
1,19,0.01447081845253706,0.9965613484382629,543.0,240292.0,153.0,678.0,0.7801724076271057,0.4447174370288849,[0.01005406]
2,0,0.03149596229195595,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,1,0.0304816123098135,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,2,0.029905134811997414,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,3,0.02078333869576454,0.9952496290206909,211.0,240307.0,126.0,1022.0,0.6261127591133118,0.1711273342370987,[0.01015237]
2,4,0.01739681139588356,0.9953861832618713,176.0,240375.0,58.0,1057.0,0.752136766910553,0.14274127781391144,[0.01015237]
2,5,0.015074904076755047,0.9964496493339539,480.0,240328.0,105.0,753.0,0.8205128312110901,0.38929441571235657,[0.01015237]
2,6,0.013768088072538376,0.9966979026794434,577.0,240291.0,142.0,656.0,0.8025034666061401,0.4679643213748932,[0.01015237]
2,7,0.016668928787112236,0.9956386089324951,290.0,240322.0,111.0,943.0,0.723192036151886,0.2351987063884735,[0.01015237]
2,8,0.014514898881316185,0.9967268705368042,620.0,240255.0,178.0,613.0,0.7769423723220825,0.5028386116027832,[0.01015237]
2,9,0.01438725832849741,0.9966565370559692,539.0,240319.0,114.0,694.0,0.825421154499054,0.4371451735496521,[0.01015237]
2,10,0.018171073868870735,0.9955930709838867,218.0,240383.0,50.0,1015.0,0.8134328126907349,0.1768045425415039,[0.01015237]
2,11,0.014776301570236683,0.9968013763427734,586.0,240307.0,126.0,647.0,0.8230336904525757,0.4752635955810547,[0.01015237]
2,12,0.014202550984919071,0.9967889785766602,628.0,240262.0,171.0,605.0,0.7859824895858765,0.5093268156051636,[0.01015237]
2,13,0.015253828838467598,0.9961392879486084,408.0,240325.0,108.0,825.0,0.7906976938247681,0.33090025186538696,[0.01015237]
2,14,0.01699579507112503,0.9957461953163147,500.0,240138.0,295.0,733.0,0.6289308071136475,0.40551501512527466,[0.01015237]
2,15,0.013710255734622478,0.9967889785766602,606.0,240284.0,149.0,627.0,0.8026490211486816,0.4914841949939728,[0.01015237]
2,16,0.01377156749367714,0.9967600107192993,632.0,240251.0,182.0,601.0,0.7764127850532532,0.5125709772109985,[0.01015237]
2,17,0.01437282469123602,0.9964289665222168,469.0,240334.0,99.0,764.0,0.8257042169570923,0.3803730607032776,[0.01015237]
2,18,0.014779070392251015,0.9965406656265259,509.0,240321.0,112.0,724.0,0.8196457624435425,0.41281425952911377,[0.01015237]
2,19,0.0187346450984478,0.9953117370605469,126.0,240407.0,26.0,1107.0,0.8289473652839661,0.10218977928161621,[0.01015237]
3,0,0.030891187489032745,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,1,0.031186187639832497,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,2,0.029141180217266083,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,3,0.02693985402584076,0.9944137930870056,156.0,240160.0,346.0,1004.0,0.31075698137283325,0.1344827562570572,[0.00955417]
3,4,0.01750069297850132,0.9964662194252014,378.0,240434.0,72.0,782.0,0.8399999737739563,0.3258620798587799,[0.00955417]
3,5,0.01616009511053562,0.9964579343795776,400.0,240410.0,96.0,760.0,0.8064516186714172,0.3448275923728943,[0.00955417]
3,6,0.014571133069694042,0.9967185854911804,479.0,240394.0,112.0,681.0,0.8104906678199768,0.41293102502822876,[0.00955417]
3,7,0.013546304777264595,0.9971034526824951,557.0,240409.0,97.0,603.0,0.8516819477081299,0.48017242550849915,[0.00955417]
3,8,0.015005053021013737,0.9966607093811035,424.0,240435.0,71.0,736.0,0.8565656542778015,0.3655172288417816,[0.00955417]
3,9,0.014060797169804573,0.9967765212059021,488.0,240399.0,107.0,672.0,0.8201680779457092,0.4206896424293518,[0.00955417]
