fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,f1_score
1,0,0.03158055990934372,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,1,0.031049296259880066,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,2,0.029031114652752876,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,3,0.03144298121333122,0.9938427209854126,293.0,239885.0,560.0,928.0,0.3434935510158539,0.2399672418832779,[0.01005406]
1,4,0.019918376579880714,0.9958910346031189,383.0,240290.0,155.0,838.0,0.7118958830833435,0.3136773109436035,[0.01005406]
1,5,0.01572967693209648,0.9958744645118713,292.0,240377.0,68.0,929.0,0.8111110925674438,0.23914824426174164,[0.01005406]
1,6,0.015470045618712902,0.9965531229972839,600.0,240233.0,212.0,621.0,0.738916277885437,0.49140048027038574,[0.01005406]
1,7,0.022823043167591095,0.9953075647354126,118.0,240414.0,31.0,1103.0,0.791946291923523,0.09664209932088852,[0.01005406]
1,8,0.032571613788604736,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,9,0.023921635001897812,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,10,0.016304394230246544,0.9961516857147217,381.0,240355.0,90.0,840.0,0.808917224407196,0.312039315700531,[0.01005406]
1,11,0.014849931932985783,0.9964082837104797,437.0,240361.0,84.0,784.0,0.8387715816497803,0.3579033613204956,[0.01005406]
1,12,0.02972276508808136,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,13,0.023612841963768005,0.9949434399604797,0.0,240444.0,1.0,1221.0,0.0,0.0,[0.01005406]
1,14,0.01829913631081581,0.995932400226593,426.0,240257.0,188.0,795.0,0.6938110589981079,0.3488943576812744,[0.01005406]
1,15,0.016103828325867653,0.9959613680839539,521.0,240169.0,276.0,700.0,0.6537013649940491,0.4266994297504425,[0.01005406]
1,16,0.01675485447049141,0.9957834482192993,407.0,240240.0,205.0,814.0,0.665032684803009,0.3333333432674408,[0.01005406]
1,17,0.015584736131131649,0.9950923919677734,721.0,239759.0,686.0,500.0,0.5124378204345703,0.5904995799064636,[0.01005406]
1,18,0.01774061657488346,0.9962510466575623,507.0,240253.0,192.0,714.0,0.725321888923645,0.41523340344429016,[0.01005406]
1,19,0.017431046813726425,0.9962924122810364,507.0,240263.0,182.0,714.0,0.7358490824699402,0.41523340344429016,[0.01005406]
2,0,0.031713396310806274,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,1,0.03177483007311821,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,2,0.03029627725481987,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,3,0.024572322145104408,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,4,0.025482358410954475,0.9952331185340881,137.0,240377.0,56.0,1096.0,0.7098445892333984,0.1111111119389534,[0.01015237]
