fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
0,0,0.1675078570842743,0.9805544018745422,3.0,125254.0,1872.0,612.0,0.0015999999595806003,0.004878048785030842,0.4867754876613617
0,1,0.07256999611854553,0.9918585419654846,1.0,126700.0,426.0,614.0,0.0023419202771037817,0.00162601622287184,0.4998929798603058
0,2,0.05386793985962868,0.9933224320411682,1.0,126887.0,239.0,614.0,0.004166666883975267,0.00162601622287184,0.5223802924156189
0,3,0.04474693164229393,0.9945671558380127,1.0,127046.0,80.0,614.0,0.012345679104328156,0.00162601622287184,0.5401456952095032
0,4,0.04128279909491539,0.9940974116325378,2.0,126985.0,141.0,613.0,0.0139860138297081,0.00325203244574368,0.5592479705810547
0,5,0.036601148545742035,0.9948489665985107,0.0,127083.0,43.0,615.0,0.0,0.0,0.5906107425689697
0,6,0.0334189273416996,0.9948880672454834,1.0,127087.0,39.0,614.0,0.02500000037252903,0.00162601622287184,0.630264401435852
0,7,0.031725455075502396,0.9951151013374329,2.0,127115.0,11.0,613.0,0.1538461595773697,0.00325203244574368,0.6678261160850525
0,8,0.029973262920975685,0.9950760006904602,3.0,127109.0,17.0,612.0,0.15000000596046448,0.004878048785030842,0.6973102688789368
0,9,0.029448410496115685,0.9950916171073914,2.0,127112.0,14.0,613.0,0.125,0.00325203244574368,0.7096373438835144
0,10,0.027635028585791588,0.9951229691505432,4.0,127114.0,12.0,611.0,0.25,0.00650406489148736,0.7520012259483337
0,11,0.027057109400629997,0.9951229691505432,7.0,127111.0,15.0,608.0,0.3181818127632141,0.01138211414217949,0.7583258748054504
0,12,0.02605835348367691,0.9951542615890503,10.0,127112.0,14.0,605.0,0.4166666567325592,0.016260161995887756,0.7776443958282471
0,13,0.025551846250891685,0.9951777458190918,15.0,127110.0,16.0,600.0,0.4838709533214569,0.024390242993831635,0.7863408327102661
0,14,0.02491038106381893,0.9951542615890503,16.0,127106.0,20.0,599.0,0.4444444477558136,0.02601625956594944,0.7887324690818787
0,15,0.024495773017406464,0.9951620697975159,23.0,127100.0,26.0,592.0,0.4693877696990967,0.03739837557077408,0.8021364212036133
0,16,0.024049067869782448,0.9952090382575989,30.0,127099.0,27.0,585.0,0.5263158082962036,0.04878048598766327,0.8147597908973694
0,17,0.023869598284363747,0.9952090382575989,32.0,127097.0,29.0,583.0,0.5245901346206665,0.05203251913189888,0.8161699175834656
0,18,0.023530123755335808,0.9952012300491333,36.0,127092.0,34.0,579.0,0.5142857432365417,0.0585365854203701,0.824820339679718
0,19,0.023051375523209572,0.9952403903007507,41.0,127092.0,34.0,574.0,0.54666668176651,0.06666667014360428,0.8321758508682251
1,0,0.02443438209593296,0.9951502084732056,60.0,338512.0,101.0,1549.0,0.3726707994937897,0.037290241569280624,0.7969687581062317
1,1,0.023583563044667244,0.9951884150505066,78.0,338507.0,106.0,1531.0,0.42391303181648254,0.04847731441259384,0.8092803359031677
1,2,0.023183489218354225,0.9952060580253601,92.0,338499.0,114.0,1517.0,0.446601927280426,0.05717837065458298,0.8110079765319824
1,3,0.022775808349251747,0.9952002167701721,116.0,338473.0,140.0,1493.0,0.453125,0.07209447026252747,0.8175780773162842
1,4,0.022052831947803497,0.9952678084373474,149.0,338463.0,150.0,1460.0,0.49832776188850403,0.09260410070419312,0.8250082731246948
1,5,0.02179138921201229,0.9953030943870544,179.0,338445.0,168.0,1430.0,0.5158501267433167,0.11124922335147858,0.8255169987678528
1,6,0.021600835025310516,0.9952766299247742,174.0,338441.0,172.0,1435.0,0.5028901696205139,0.1081417053937912,0.8289374709129333
