fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
0,0,22.22796630859375,0.5863739848136902,159.0,74745.0,52381.0,456.0,0.003026265650987625,0.25853657722473145,0.42026758193969727
0,1,0.18119867146015167,0.9921481609344482,2.0,126736.0,390.0,613.0,0.005102040711790323,0.00325203244574368,0.49872761964797974
0,2,0.1259274184703827,0.9906373023986816,3.0,126542.0,584.0,612.0,0.0051107327453792095,0.004878048785030842,0.5006424784660339
0,3,0.10779713839292526,0.9922420978546143,3.0,126747.0,379.0,612.0,0.007853402756154537,0.004878048785030842,0.499580979347229
0,4,0.09506143629550934,0.9926178455352783,2.0,126796.0,330.0,613.0,0.0060240961611270905,0.00325203244574368,0.5009797215461731
0,5,0.08422195911407471,0.9932050108909607,2.0,126871.0,255.0,613.0,0.0077821011655032635,0.00325203244574368,0.5100099444389343
0,6,0.0688890591263771,0.9932597875595093,3.0,126877.0,249.0,612.0,0.011904762126505375,0.004878048785030842,0.5266981720924377
0,7,0.06008470058441162,0.9933224320411682,7.0,126881.0,245.0,608.0,0.02777777798473835,0.01138211414217949,0.5466294288635254
0,8,0.05375579372048378,0.9933850765228271,8.0,126888.0,238.0,607.0,0.03252032399177551,0.01300812978297472,0.5693919062614441
0,9,0.048569269478321075,0.9936903715133667,12.0,126923.0,203.0,603.0,0.055813953280448914,0.019512195140123367,0.6016257405281067
0,10,0.04274744912981987,0.9937373399734497,16.0,126925.0,201.0,599.0,0.07373271882534027,0.02601625956594944,0.6501672863960266
0,11,0.0378459095954895,0.9941522479057312,29.0,126965.0,161.0,586.0,0.15263158082962036,0.04715447127819061,0.6765925288200378
0,12,0.035004936158657074,0.9943009614944458,41.0,126972.0,154.0,574.0,0.2102564126253128,0.06666667014360428,0.6969407200813293
0,13,0.033368732780218124,0.9944418668746948,47.0,126984.0,142.0,568.0,0.24867725372314453,0.07642276585102081,0.7169311046600342
0,14,0.03190316632390022,0.9946219325065613,65.0,126989.0,137.0,550.0,0.3217821717262268,0.10569106042385101,0.7316575050354004
0,15,0.030750570818781853,0.9946767091751099,69.0,126992.0,134.0,546.0,0.33990147709846497,0.11219511926174164,0.7438840270042419
0,16,0.02962510660290718,0.9947158694267273,74.0,126992.0,134.0,541.0,0.35576921701431274,0.12032520025968552,0.7592393755912781
0,17,0.028697356581687927,0.9947941303253174,81.0,126995.0,131.0,534.0,0.3820754587650299,0.1317073106765747,0.767441987991333
0,18,0.027975009754300117,0.9947785139083862,85.0,126989.0,137.0,530.0,0.38288289308547974,0.13821138441562653,0.7736681699752808
0,19,0.027436381205916405,0.9948645830154419,91.0,126994.0,132.0,524.0,0.40807175636291504,0.14796747267246246,0.7779608368873596
1,0,0.02619589865207672,0.9948210120201111,212.0,338248.0,365.0,1397.0,0.36741766333580017,0.13175885379314423,0.7882043719291687
1,1,0.025438113138079643,0.9948886036872864,216.0,338267.0,346.0,1393.0,0.38434162735939026,0.1342448741197586,0.7898725271224976
1,2,0.02498464100062847,0.9948768615722656,214.0,338265.0,348.0,1395.0,0.38078293204307556,0.13300186395645142,0.7957477569580078
1,3,0.024469170719385147,0.994976818561554,212.0,338301.0,312.0,1397.0,0.40458014607429504,0.13175885379314423,0.7990626096725464
1,4,0.024130340665578842,0.9950209259986877,230.0,338298.0,315.0,1379.0,0.4220183491706848,0.14294593036174774,0.8045612573623657
1,5,0.024072742089629173,0.9950414896011353,227.0,338308.0,305.0,1382.0,0.4266917407512665,0.14108142256736755,0.8074997067451477
1,6,0.023566164076328278,0.9950796961784363,233.0,338315.0,298.0,1376.0,0.43879473209381104,0.14481043815612793,0.8110332489013672
1,7,0.023505931720137596,0.995091438293457,233.0,338319.0,294.0,1376.0,0.44212523102760315,0.14481043815612793,0.8124483227729797
1,8,0.023685164749622345,0.9950473308563232,224.0,338313.0,300.0,1385.0,0.42748090624809265,0.13921689987182617,0.807236909866333
1,9,0.023397397249937057,0.99505615234375,220.0,338320.0,293.0,1389.0,0.4288499057292938,0.13673089444637299,0.8125382661819458
1,10,0.02328253909945488,0.995094358921051,232.0,338321.0,292.0,1377.0,0.442748099565506,0.14418894052505493,0.815295934677124
1,11,0.02330954745411873,0.9950826168060303,226.0,338323.0,290.0,1383.0,0.43798449635505676,0.14045991003513336,0.8134756684303284
1,12,0.023432286456227303,0.9951002597808838,230.0,338325.0,288.0,1379.0,0.4440154433250427,0.14294593036174774,0.8143150210380554
1,13,0.02321755699813366,0.9951179027557373,226.0,338335.0,278.0,1383.0,0.44841268658638,0.14045991003513336,0.8166179656982422
1,14,0.023148275911808014,0.9951237440109253,226.0,338337.0,276.0,1383.0,0.4501992166042328,0.14045991003513336,0.8189193606376648
1,15,0.02308029681444168,0.995132565498352,227.0,338339.0,274.0,1382.0,0.45309382677078247,0.14108142256736755,0.8185741901397705
1,16,0.023060230538249016,0.9951355457305908,225.0,338342.0,271.0,1384.0,0.4536290466785431,0.13983841240406036,0.8191861510276794
1,17,0.022882817313075066,0.9952031373977661,240.0,338350.0,263.0,1369.0,0.47713717818260193,0.1491609662771225,0.8207274079322815
1,18,0.02284446358680725,0.9951913952827454,240.0,338346.0,267.0,1369.0,0.47337278723716736,0.1491609662771225,0.8217700123786926
1,19,0.02272404357790947,0.9951590299606323,235.0,338340.0,273.0,1374.0,0.46259841322898865,0.14605344831943512,0.8202654123306274
2,0,0.023640230298042297,0.9953203797340393,401.0,553238.0,458.0,2145.0,0.4668218791484833,0.1575019657611847,0.8034422397613525
2,1,0.022836249321699142,0.9953113794326782,388.0,553246.0,450.0,2158.0,0.4630071520805359,0.15239591896533966,0.8131352663040161
2,2,0.02262950874865055,0.995318591594696,385.0,553253.0,443.0,2161.0,0.46497583389282227,0.15121759474277496,0.816163957118988
2,3,0.022336088120937347,0.9953653216362,391.0,553273.0,423.0,2155.0,0.4803439676761627,0.15357422828674316,0.8182993531227112
2,4,0.02231159433722496,0.9953599572181702,388.0,553273.0,423.0,2158.0,0.478421688079834,0.15239591896533966,0.8181415796279907
2,5,0.022128306329250336,0.9953868985176086,383.0,553293.0,403.0,2163.0,0.4872773587703705,0.1504320502281189,0.8188290596008301
2,6,0.02212141454219818,0.9953401684761047,372.0,553278.0,418.0,2174.0,0.47088608145713806,0.14611154794692993,0.8203632235527039
2,7,0.022304389625787735,0.995374321937561,384.0,553285.0,411.0,2162.0,0.4830188751220703,0.15082482993602753,0.8173066973686218
2,8,0.022168146446347237,0.995374321937561,374.0,553295.0,401.0,2172.0,0.48258063197135925,0.146897092461586,0.8184778690338135
2,9,0.022123461589217186,0.9953923225402832,376.0,553303.0,393.0,2170.0,0.48894667625427246,0.14768263697624207,0.8209530115127563
2,10,0.022076288238167763,0.9953635334968567,369.0,553294.0,402.0,2177.0,0.4785992205142975,0.14493322372436523,0.8195288777351379
2,11,0.021996187046170235,0.9953725337982178,376.0,553292.0,404.0,2170.0,0.482051283121109,0.14768263697624207,0.8216375708580017
