fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
0,0,0.04883566498756409,0.9937921166419983,0.0,126948.0,178.0,615.0,0.0,0.0,0.4348658621311188
0,1,0.030487792566418648,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5706244111061096
0,2,0.030191265046596527,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5890060663223267
0,3,0.030016304925084114,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6028968691825867
0,4,0.02988419681787491,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6025086045265198
0,5,0.029798375442624092,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6179893016815186
0,6,0.029696675017476082,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6227319240570068
0,7,0.030040454119443893,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5979390740394592
0,8,0.029958980157971382,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5951895117759705
0,9,0.02976945973932743,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6226543188095093
0,10,0.029697872698307037,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6365520358085632
0,11,0.02956760674715042,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6474593281745911
0,12,0.029493914917111397,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6445871591567993
0,13,0.029548494145274162,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6378946304321289
0,14,0.02941296622157097,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6465127468109131
0,15,0.0293339304625988,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6557052731513977
0,16,0.02921961061656475,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6564029455184937
0,17,0.029238896444439888,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.659421443939209
0,18,0.029124382883310318,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6750897765159607
0,19,0.029300523921847343,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6622742414474487
1,0,0.02936740219593048,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6324859261512756
1,1,0.02930973470211029,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6344934701919556
1,2,0.028882918879389763,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6521643400192261
1,3,0.028300946578383446,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6824267506599426
1,4,0.02723114565014839,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.7485560774803162
1,5,0.025655344128608704,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.8079889416694641
1,6,0.023932501673698425,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.8435073494911194
1,7,0.02201627567410469,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.8641980886459351
1,8,0.020512480288743973,0.9952795505523682,3.0,338613.0,0.0,1606.0,1.0,0.0018645121017470956,0.8702141046524048
1,9,0.01873888447880745,0.9953383207321167,35.0,338601.0,12.0,1574.0,0.7446808218955994,0.02175264060497284,0.8654332756996155
1,10,0.01824367791414261,0.9953912496566772,84.0,338570.0,43.0,1525.0,0.6614173054695129,0.05220634117722511,0.8712826371192932
1,11,0.017368482425808907,0.9956410527229309,253.0,338486.0,127.0,1356.0,0.6657894849777222,0.15724052488803864,0.8741157054901123
1,12,0.01598408818244934,0.996173083782196,498.0,338422.0,191.0,1111.0,0.7227866649627686,0.3095090091228485,0.8825584650039673
1,13,0.01739981770515442,0.9958615303039551,363.0,338451.0,162.0,1246.0,0.691428542137146,0.22560596466064453,0.8595855236053467
1,14,0.015187996439635754,0.9964199662208557,639.0,338365.0,248.0,970.0,0.7204058766365051,0.39714106917381287,0.8833543658256531
1,15,0.015564113855361938,0.9962994456291199,587.0,338376.0,237.0,1022.0,0.7123786211013794,0.3648228645324707,0.87680983543396
1,16,0.015149765647947788,0.9963964819908142,625.0,338371.0,242.0,984.0,0.7208765745162964,0.38844001293182373,0.8771919012069702
1,17,0.014966652728617191,0.9966139793395996,670.0,338400.0,213.0,939.0,0.7587769031524658,0.4164077043533325,0.8774430155754089
1,18,0.01580585539340973,0.9961907267570496,482.0,338444.0,169.0,1127.0,0.7403993606567383,0.2995649576187134,0.8755375146865845
1,19,0.014427493326365948,0.996828556060791,745.0,338398.0,215.0,864.0,0.7760416865348816,0.4630205035209656,0.8828373551368713
2,0,0.01529561635106802,0.9963217377662659,757.0,553439.0,257.0,1789.0,0.7465482950210571,0.2973291575908661,0.8797891139984131
2,1,0.014965362846851349,0.9966166019439697,1052.0,553308.0,388.0,1494.0,0.730555534362793,0.4131971597671509,0.8848879337310791
2,2,0.019839365035295486,0.9959442019462585,633.0,553353.0,343.0,1913.0,0.6485655903816223,0.24862529337406158,0.8129907250404358
2,3,0.01699461229145527,0.9960862398147583,790.0,553275.0,421.0,1756.0,0.6523534059524536,0.310290664434433,0.8801881670951843
2,4,0.014729049988090992,0.9966040253639221,994.0,553359.0,337.0,1552.0,0.7468069195747375,0.39041635394096375,0.8788580894470215
2,5,0.01470096129924059,0.9966166019439697,977.0,553383.0,313.0,1569.0,0.7573643326759338,0.3837392032146454,0.8752421736717224
2,6,0.016718357801437378,0.9959891438484192,841.0,553170.0,526.0,1705.0,0.6152157783508301,0.3303220868110657,0.8761786818504333
2,7,0.015043581835925579,0.9963666796684265,1176.0,553045.0,651.0,1370.0,0.6436781883239746,0.4619010090827942,0.8914948105812073
2,8,0.014226223342120647,0.9967424273490906,1105.0,553325.0,371.0,1441.0,0.748645007610321,0.43401414155960083,0.8825422525405884
2,9,0.014226614497601986,0.9969419836997986,1223.0,553318.0,378.0,1323.0,0.7638975381851196,0.48036134243011475,0.8827308416366577
2,10,0.014073681086301804,0.9968934655189514,1216.0,553298.0,398.0,1330.0,0.7534076571464539,0.4776119291782379,0.8985357284545898
2,11,0.015117824077606201,0.9965788125991821,1048.0,553291.0,405.0,1498.0,0.7212663292884827,0.41162607073783875,0.8785507082939148
2,12,0.014055052772164345,0.9968358874320984,1207.0,553275.0,421.0,1339.0,0.7414004802703857,0.4740769863128662,0.8850706219673157
2,13,0.015188203193247318,0.9964619874954224,948.0,553326.0,370.0,1598.0,0.7192716002464294,0.3723487854003906,0.8887630701065063
2,14,0.014564849436283112,0.9965212941169739,986.0,553321.0,375.0,1560.0,0.7244672775268555,0.3872741460800171,0.8864758014678955
2,15,0.01453071553260088,0.9965195059776306,1079.0,553227.0,469.0,1467.0,0.697028398513794,0.42380204796791077,0.8948760628700256
2,16,0.013844125904142857,0.9968844652175903,1206.0,553303.0,393.0,1340.0,0.7542213797569275,0.4736842215061188,0.8921777606010437
2,17,0.013736428692936897,0.9968089461326599,1291.0,553176.0,520.0,1255.0,0.7128658294677734,0.5070698857307434,0.8993663787841797
2,18,0.014909452758729458,0.996569812297821,1191.0,553143.0,553.0,1355.0,0.6829128265380859,0.4677926301956177,0.8806237578392029
2,19,0.013579580932855606,0.9969204068183899,1257.0,553272.0,424.0,1289.0,0.7477691769599915,0.49371564388275146,0.8908165097236633
3,0,0.017656223848462105,0.995470404624939,549.0,768212.0,502.0,2996.0,0.5223596692085266,0.15486600995063782,0.8724920153617859
3,1,0.015698952600359917,0.9959819316864014,861.0,768295.0,419.0,2684.0,0.672656238079071,0.2428772896528244,0.8812929391860962
3,2,0.014092580415308475,0.9964869022369385,1464.0,768082.0,632.0,2081.0,0.6984732747077942,0.4129760265350342,0.8967965841293335
3,3,0.01439533568918705,0.9968494772911072,1737.0,768089.0,625.0,1808.0,0.735393762588501,0.4899858832359314,0.8765920400619507
3,4,0.01365104503929615,0.9969699382781982,1786.0,768133.0,581.0,1759.0,0.7545416355133057,0.5038082003593445,0.8885511755943298
